Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
Un mystérieux amour	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/un-mysterieux-amour_daniel-lesueur.epub	1886_Un_mysterieux_amour	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1886	Lesueur	Q5217915		33258	36032	Domaine public
15. La terre.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-15.epub	1887_15_La_terre	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1887	Zola	Q504	http://data.bnf.fr/ark:/12148/cb12405056z#about	160848	177392	Domaine public
Amour d’aujourd’hui	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/amour-d-aujourdhui_daniel-lesueur.epub	1887_Amour_d_aujourd_hui	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1887	Lesueur	Q5217915		80922	88676	Domaine public
Le Chemin de France	Jules Verne	http://beq.ebooksgratuits.com/vents-epub/Verne_Le_chemin_de_France.epub	1887_Le_Chemin_de_France	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1887	Verne	Q33977		50263	55764	Domaine public
Nikanor	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Nikanor.epub	1887_Nikanor	https://data.bnf.fr/fr/12122534/henry_greville/	1887	Gréville	Q2266038		55704	61871	Domaine public
Nord contre sud	Jules Verne	http://beq.ebooksgratuits.com/vents-epub/Verne_Nord_contre_Sud.epub	1887_Nord_contre_sud	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1887	Verne	Q33977		101354	112863	Domaine public
16. Le rêve.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-16.epub	1888_16_Le_reve	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1888	Zola	Q504	http://data.bnf.fr/ark:/12148/cb12406676g#about	65320	71856	Domaine public
Deux Ans de vacances	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Deux_ans_de_vacances.epub	1888_Deux_Ans_de_vacances	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1888	Verne	Q33977		112798	126342	Domaine public
La seconde mère	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_La_seconde_mere.epub	1888_La_seconde_mere	https://data.bnf.fr/fr/12122534/henry_greville/	1888	Gréville	Q2266038		54092	60009	Domaine public
Famille sans nom	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Famille_sans_nom.epub	1889_Famille_sans_nom	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1889	Verne	Q33977	http://data.bnf.fr/ark:/12148/cb11935429h#about	97687	108572	Domaine public
L’Auberge des saules	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/l-auberge-des-saules_daniel-lesueur.epub	1889_L_Auberge_des_saules	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1889	Lesueur	Q5217915		78552	84825	Domaine public
Sans dessus dessous	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Sans_dessus_dessous.epub	1889_Sans_dessus_dessous	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1889	Verne	Q33977	http://data.bnf.fr/ark:/12148/cb14611354z#about	46794	51917	Domaine public
17. La bête humaine.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-17.epub	1890_17_La_bete_humaine	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1890	Zola	Q504	http://data.bnf.fr/ark:/12148/cb120033705#about	123154	136459	Domaine public
César Cascabel	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Cesar_Cascabel.epub	1890_Cesar_Cascabel	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1890	Verne	Q33977		103375	115232	Domaine public
Le passé	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-passe.epub	1890_Le_passe	https://data.bnf.fr/fr/12122534/henry_greville/	1890	Gréville	Q2266038		48452	53844	Domaine public
Névrosée	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/nevrosee_daniel-lesueur.epub	1890_Nevrosee	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1890	Lesueur	Q5217915		61812	67339	Domaine public
Une vie tragique	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/une-vie-tragique_daniel-lesueur.epub	1890_Une_vie_tragique	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1890	Lesueur	Q5217915		50326	56132	Domaine public
18. L'argent.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-18.epub	1891_18_L_argent	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1891	Zola	Q504	http://data.bnf.fr/ark:/12148/cb12481970p#about	140298	155019	Domaine public
Mistress Branican	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Mistress_Branican.epub	1891_Mistress_Branican	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1891	Verne	Q33977		111753	125543	Domaine public
Péril	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Peril.epub	1891_Peril	https://data.bnf.fr/fr/12122534/henry_greville/	1891	Gréville	Q2266038		74590	83064	Domaine public
19. La débâcle.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-19.epub	1892_19_La_debacle	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1892	Zola	Q504		183439	201856	Domaine public
Chénerol	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Chenerol.epub	1892_Chenerol	https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1892	Gréville	Q2266038		49477	54950	Domaine public
